Unnamed: 0,M,Inn,NO,Runs,HS,Avg,BF,SR,100,200,50,4s,6s
Test,113,191,11,8848,254,49.16,15924,55.56,29,7,30,991,26
ODI,292,280,44,13848,183,58.68,14797,93.59,50,0,72,1294,152
T20I,117,109,31,4037,122,51.76,2922,138.16,1,0,37,361,117
IPL,245,237,36,7642,113,38.02,5838,130.9,8,0,52,679,250
